Monthly Mean overland air temperature for Lake Ontario (Celsius),
(values are computed by averaging the monthly minimum and maximum air temps),
,Average
Year,Annual
1948,7.4
1949,8.58
1950,6.93
1951,7.43
1952,8.1
1953,8.67
1954,7.48
1955,7.87
1956,6.77
1957,7.6
1958,6.55
1959,7.54
1960,7.02
1961,7.37
1962,6.77
1963,6.51
1964,7.51
1965,6.68
1966,6.99
1967,6.83
1968,6.84
1969,7.03
1970,6.86
1971,7.07
1972,6.14
1973,8.07
1974,6.8
1975,7.63
1976,6.28
1977,7.05
1978,6.11
1979,6.96
1980,6.43
1981,7.05
1982,6.85
1983,7.56
1984,7.27
1985,6.99
1986,7.29
1987,7.94
1988,7.32
1989,6.45
1990,8.3
1991,8.35
1992,6.42
1993,6.69
1994,6.75
1995,7.27
1996,6.85
1997,6.79
1998,9.09
1999,8.28
2000,7.1
2001,8.45
2002,8.23
2003,6.83
2004,7.14
2005,7.87
2006,8.64
2007,7.4
2008,7.31
2009,6.95
2010,8.35
